"URL","from","to","weight","betweenness.edges"
"https://www.altmetric.com/details/12125570","@pkedrosky","@mattbish",1,1
"https://www.altmetric.com/details/12125570","@akaDSN","@CheyenneDancer",1,1
"https://www.altmetric.com/details/12125570","@pkedrosky","@aristogitone1",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@campnomie",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@Dude68360686",1,1
"https://www.altmetric.com/details/12125570","@Noahpinion","@RachelMann123",1,2
"https://www.altmetric.com/details/12125570","@JynErso_2017","@JaneMoss08",1,2
"https://www.altmetric.com/details/12125570","@doug_rand","@makharya",2,1
"https://www.altmetric.com/details/12125570","@Noahpinion","@IgorCarron",1,2
"https://www.altmetric.com/details/12125570","@eileendefreest","@doodlebug0",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@Blaine_Politics",1,1
"https://www.altmetric.com/details/12125570","@Prof_MPastor","@JuanD",1,1
"https://www.altmetric.com/details/12125570","@pkedrosky","@aamstacey",1,1
"https://www.altmetric.com/details/12125570","@pkedrosky","@lauowolf",1,1
"https://www.altmetric.com/details/12125570","@David_J_Bier","@turntxblue18",1,1
"https://www.altmetric.com/details/12125570","@JynErso_2017","@lfkraus",1,2
"https://www.altmetric.com/details/12125570","@eriksimons1","@Vishgarg7",1,1
"https://www.altmetric.com/details/12125570","@NumbersUSA","@carisimolider",1,1
"https://www.altmetric.com/details/12125570","@Mikel_Jollett","@WheatliesRBLX",1,1
"https://www.altmetric.com/details/12125570","@m_clem","@Yoshiaki_Tokyo",1,1
"https://www.altmetric.com/details/12125570","@Noahpinion","@larryfd",1,2
"https://www.altmetric.com/details/12125570","@JynErso_2017","@rhybeckah",1,2
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@Submarine_Doc",1,1
"https://www.altmetric.com/details/12125570","@theNASciences","@calestous",1,1
"https://www.altmetric.com/details/12125570","@pkedrosky","@gassee",1,1
"https://www.altmetric.com/details/12125570","@VikkiCrouse","@gwfrink3",1,1
"https://www.altmetric.com/details/12125570","@Noahpinion","@ravngsofamadman",1,2
"https://www.altmetric.com/details/12125570","@SominiSengupta","@VFelbabBrown",1,1
"https://www.altmetric.com/details/12125570","@pkedrosky","@BillAsman",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@hrothenb",1,1
"https://www.altmetric.com/details/12125570","@vixy","@Susan_calvin",1,1
"https://www.altmetric.com/details/12125570","@VikkiCrouse","@TazraMitchell",1,1
"https://www.altmetric.com/details/12125570","@NumbersUSA","@dougallday",1,1
"https://www.altmetric.com/details/12125570","@TheRichmondWay","@mariebayarea4",1,1
"https://www.altmetric.com/details/12125570","@mariasacchetti","@sharon_lynch",1,1
"https://www.altmetric.com/details/12125570","@theNASEM","@dvergano",1,1
"https://www.altmetric.com/details/12125570","@JynErso_2017","@MuffinzChokIce",1,2
"https://www.altmetric.com/details/12125570","@BarkerJo","@mbalter",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@eruesewald",2,1
"https://www.altmetric.com/details/12125570","@theNASEM","@Michael63364999",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@VJoelHeadings",1,1
"https://www.altmetric.com/details/12125570","@WestWingReport","@plumaria1",1,1
"https://www.altmetric.com/details/12125570","@JynErso_2017","@ErikaAbrahamss2",1,2
"https://www.altmetric.com/details/12125570","@theNAMedicine","@plmathes",1,1
"https://www.altmetric.com/details/12125570","@David_J_Bier","@JulieErick3",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@SuperWarpian",1,1
"https://www.altmetric.com/details/12125570","@afneil","@outlaw316",1,1
"https://www.altmetric.com/details/12125570","@amkelley0616","@bastiongray",1,1
"https://www.altmetric.com/details/12125570","@pkedrosky","@mayanknkc",1,1
"https://www.altmetric.com/details/12125570","@NumbersUSA","@rixmal_smith",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@shellyjehu",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@Bassaces1",1,1
